Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,disVeg2,disHT2,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,dna_id,prevtags,first_action,exit_time,dummy
8,,CC,,,,,,,0,0,0,0,0,0,N,0,71,0,6,0,0,0,0,,,,19-Jun-81,100%,100%,0,0,0,0,,,,N,6,,,,,,,,,,,,,,,65
9,,CC,,,,,,,0,0,0,0,0,0,N,0,70,0,0,0,0,0,0,,,,21-Jun-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,66
10,,CC,,,,,,,0,0,0,0,0,0,N,0,66,0,58,0,0,0,0,,,,23-Jun-81,100%,100%,0,0,0,0,,,,N,58,,,,,,,,,,,,,,,67
11,,CC,,,,,,,0,0,0,0,0,0,N,0,110,0,93,0,0,0,0,,,,24-Jun-81,100%,100%,0,0,0,0,,,,N,93,,,,,,,,,,,,,,,68
12,,CC,,,,,,,0,0,0,0,0,0,N,77,113,0,3,0,0,0,0,,,13-Sep-81,28-Jun-81,100%,100%,0,0,0,0,,,,N,3,,,,,,,,,,,,,,,69
13,,CC,,,,,,,0,0,0,0,0,0,N,0,110,0,84,0,0,0,0,,,,28-Jun-81,100%,100%,0,0,0,0,,,,N,84,,,,,,,,,,,,,,,70
14,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,11-Jun-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,71
15,,CC,,,,,,,0,0,0,0,0,0,N,0,82,0,36,0,0,0,0,,,,18-Jun-81,100%,100%,0,0,0,0,,,,N,36,,,,,,,,,,,,,,,72
16,,CC,,,,,,,0,0,0,0,0,0,N,0,108,0,30,0,0,0,0,,,,20-Jun-81,100%,100%,0,0,0,0,,,,N,30,,,,,,,,,,,,,,,73
17,,CC,,,,,,,0,0,0,0,0,0,N,0,90,0,20,0,0,0,0,,,,23-Jun-81,100%,100%,0,0,0,0,,,,N,20,,,,,,,,,,,,,,,74
18,,CC,,,,,,,0,0,0,0,0,0,N,0,80,0,72,0,0,0,0,,,,28-Jun-81,100%,100%,0,0,0,0,,,,N,72,,,,,,,,,,,,,,,75
19,,CC,,,,,,,0,0,0,0,0,0,N,0,86,0,21,0,0,0,0,,,,11-Jun-81,100%,100%,0,0,0,0,,,,N,21,,,,,,,,,,,,,,,76
20,,CC,,,,,,,0,0,0,0,0,0,N,0,91,0,85,0,0,0,0,,,,18-Jun-81,100%,100%,0,0,0,0,,,,N,85,,,,,,,,,,,,,,,77
21,,CC,,,,,,,0,0,0,0,0,0,N,0,150,0,0,0,0,0,0,,,,27-Jun-81,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,78
22,,CC,,,,,,,0,0,0,0,0,0,N,0,106,0,1,0,0,0,0,,,,12-Jun-81,100%,100%,0,0,0,0,,,,N,1,,,,,,,,,,,,,,,79
23,,CC,,,,,,,0,0,0,0,0,0,N,0,117,0,100,0,0,0,0,,,,21-Jun-81,100%,100%,0,0,0,0,,,,N,100,,,,,,,,,,,,,,,80
24,,CC,,,,,,,0,0,0,0,0,0,N,0,138,0,70,0,0,0,0,,,,29-Jun-81,100%,100%,0,0,0,0,,,,N,70,,,,,,,,,,,,,,,81
25,,CC,,,,,,,0,0,0,0,0,0,N,67,111,0,2,0,0,0,0,,,13-Sep-81,8-Jul-81,100%,100%,0,0,0,0,,,,N,2,,,,,,,,,,,,,,,82
26,,CC,,,,,,,0,0,0,0,0,0,N,64,93,0,78,0,0,0,0,,,13-Sep-81,11-Jul-81,100%,100%,0,0,0,0,,,,N,78,,,,,,,,,,,,,,,83
