Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time
15,,CC,,,,,,,,,,,,,,,82,,36,,,,,,,,18JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
16,,CC,,,,,,,,,,,,,,,108,,30,,,,,,,,20JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
17,,CC,,,,,,,,,,,,,,,90,,20,,,,,,,,23JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
18,,CC,,,,,,,,,,,,,,,80,,72,,,,,,,,28JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
19,,CC,,,,,,,,,,,,,,,86,,21,,,,,,,,11JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
20,,CC,,,,,,,,,,,,,,,91,,85,,,,,,,,18JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
21,,CC,,,,,,,,,,,,,,,150,,0,,,,,,,,27JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
22,,CC,,,,,,,,,,,,,,,106,,1,,,,,,,,12JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
23,,CC,,,,,,,,,,,,,,,117,,100,,,,,,,,21JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
24,,CC,,,,,,,,,,,,,,,138,,70,,,,,,,,29JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
25,,CC,,,,,,,,,,,,,,67,111,,2,,,,,,,13SEP1981,08JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
26,,CC,,,,,,,,,,,,,,64,93,,78,,,,,,,13SEP1981,11JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
27,,CC,,,,,,,,,,,,,,84,112,,85,,,,,,,05OCT1981,13JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
28,,CC,,,,,,,,,,,,,,83,105,,38,,,,,,,05OCT1981,14JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
29,,CC,,,,,,,,,,,,,,,103,,97,,,,,,,,20JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
30,,CC,,,,,,,,,,,,,,,123,,115,,,,,,,,25JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
31,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,25JUL1981,,,,,,,,N,,,,,,,,,,,,,,,,,
