Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time,year
48,,CC,,,,,,,,,,,,,,,74.0,,26.0,,,,,,,,2-Aug-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
49,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,2-Aug-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
50,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,2-Aug-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
51,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,2-Aug-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
52,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,3-Aug-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
53,,CC,,,,,,,,,,,,,,,88.0,,0.0,,,,,,,,5-Aug-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
54,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,8-Aug-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
55,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,12-Aug-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
1,,CC,,,,,,,,,,,,,,,141.0,,123.0,,,,,,,,3-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
2,,CC,,,,,,,,,,,,,,,126.0,,78.0,,,,,,,,3-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
3,,CC,,,,,,,,,,,,,,,135.0,,116.0,,,,,,,,5-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
4,,CC,,,,,,,,,,,,,,,145.0,,111.0,,,,,,,,7-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
5,,CC,,,,,,,,,,,,,,,102.0,,94.0,,,,,,,,8-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
6,,CC,,,,,,,,,,,,,,,,,,,,,,,,,8-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
7,,CC,,,,,,,,,,,,,,,96.0,,94.0,,,,,,,,8-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
8,,CC,,,,,,,,,,,,,,,124.0,,120.0,,,,,,,,9-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
9,,CC,,,,,,,,,,,,,,,135.0,,74.0,,,,,,,,12-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
10,,CC,,,,,,,,,,,,,,,93.0,,28.0,,,,,,,,2-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
11,,CC,,,,,,,,,,,,,,,,,,,,,,,,,12-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
12,,CC,,,,,,,,,,,,,,,113.0,,3.0,,,,,,,,2-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
13,,CC,,,,,,,,,,,,,,,129.0,,94.0,,,,,,,,14-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
14,,CC,,,,,,,,,,,,,,,,,,,,,,,,,2-Jun-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
